user_name,cmv_comments,cmv_subs_commented_on
422,863,IcUsdlhIiOgTXRxtWLms
164,412,rEXHJhyOEDmMcgJGsMCo
117,705,ZixFlYiwdpkPOBsIVNfZ
17,642,OxGIiLbMmsRCHqMzXQdF
430,660,ptSdehGjeExmZanWhpOe
431,434,HpFFzvDxxwvvGKcDvylW
48,219,OoDADRomLEmjxdPUWVCQ
454,718,zMsyMoXXaTDVmkezipgW
229,405,sCSmmXIeBmyrgcGJllgY
620,657,zSzUGbhYGIJdnuUTsCSL
284,470,iyZUccoNruOeqPfmYENB
494,731,jaJqzCAuAIRkzIUDLxdL
3,42,DQrgHHeCIxIZvPrPKVmr
401,794,RcUHsQhQdpisiWDIfYqB
179,184,vLYaGoWdVglnYrBAKROq
350,499,gzssVPNYIvFdxzsJymwk
0,6,qeZprKRUBYSrPqUfrZIh
415,729,hlluzFILfrUleMcptLIn
193,628,bjewZcQprbYhunIXfMyq
453,933,CzybCHZKbjZlWnCqrZlx
30,738,krEBupKFPkKikZgrtJqz
132,463,IpxeJUDMXchPawNaIVQf
366,567,fIkHRaxcbCXBYvcbSgok
544,748,rVlMYvsVHgyNqiZNCCso
671,680,OHlWOwKozvmTeVMsaZVD
426,707,qIcRvBCLHdiUvXoDODOy
213,956,jZDSxyEdzRTMbVVoffnR
52,65,yjralMuTDLcRxVbJQBpk
175,357,MBLYsVgzYksLETVjgHEM
44,91,EZJDpjNfrBEjAVcfpadN
14,272,ubqfRabGBnMushbRozDV
335,652,iDTbulOACMvUYzZpIIXj
8,250,zNBDLyIUipoahdUlnYSC
773,886,BRgydFUlItHmhUMmcWVg
287,995,hCFUmSPxANqdLQXkpnPc
9,584,IHsrHWGjEkFdexpMRnwA
1,659,GYDcczPfpvqejiVDcDCK
308,386,KnmOYLdbeCBtASxkRZya
571,608,PLSGYdDmddVtoGQjClgu
74,123,boTGhNWnxKaPlAOuWCJO
427,580,ABCciOBjEZSLfEJkFfKL
19,121,OrzzHwkONNDxAbiKqbvG
483,624,eQKPKSucbpKKovjVJJqV
557,680,dJTasKJVGkFQqNibUBqe
347,518,UBLLbFElvRFsTTmeWQhg
205,439,IakwzlcZWdwgPJQIgQfv
47,542,xZxpwcbqytStCQNkMyeP
291,309,lTXdHResjqYzZaVmwQiM
579,734,TlgrrvdfJxkcMpMjVBqr
25,69,PhjwkcqWxXkhxFcSwEVZ
196,244,VBNnesDRqIEHpydjqMko
151,165,xJAIpZXRBwpFoREBkwbS
185,235,BLjBFObitamBBtWzuKZw
448,855,FOtaepVJQzwBnGRjDacd
306,394,oputMFEmjbaQnhNzdQXf
125,207,zuovdGHbXjdqNOpSKtRW
93,145,RnusMmgNcJwFydmumqga
494,667,XVNwIgCMYBQbJPXgxEFe
116,875,tyUMJQGFVWRZMvvKGDtI
140,158,OAZbCZrTRVFItHHHkWYb
478,927,WJdQDdcyscqDYzmdHZVv
137,321,wRVtdIWPcsWpIIXQBRna
191,348,nXNhFozZITmLoRwiUGJk
7,111,RLEapxvsynxQVfeTAdlR
340,750,qxCATIcmKNCFdmusNPXU
296,547,BvnKIiBQluxYydBXzdcn
90,141,DzunSpPEsDWpYOvooUNB
229,803,XiUMDpoMqmdgWWWAzUuz
