user_name,submissions,comments,cmv_submissions,cmv_comments,deltas_awarded
167,162,388,64,672,NgKvXbeHNqzaMFVXdcCR
1584,601,2400,143,956,WAHgDdBHoYIXzdAcWjlR
343,764,1424,418,804,cOyZGdMlNgkEjlTHewzL
1230,12,2336,7,413,NCiufHllXNApwVFkCcPY
1195,60,2640,17,165,YMDmcwJgaETzLdERblgA
704,569,782,184,974,iQDMtXuoWfFDZvjaSQwF
13,348,2921,254,378,AUJCOHmrvKiWXamqmemM
65,164,1491,21,440,skJjYRSrcpsvCZbMTcmZ
1566,361,1948,317,835,lqCuQafHeeyzHVupGHxf
926,107,2423,88,643,jTyZkfVXbNGaJHlKKKkg
1851,25,2871,3,71,IvJCHXIzamlzJSBUfevZ
377,7,786,2,8,drzSRRWbiAtsGtqTaZbR
2131,30,2181,28,215,CiIKvxVMCSSjBdKDZKFc
1399,304,2713,77,523,WyYljvdSVOoXkfLkWxhh
990,175,1841,97,624,QsiIcwSoSQqqUcrlrcki
309,396,658,121,545,OcfLqvbGfcoXGlqVLspB
3,187,94,65,282,gXVWsVghCtPPHwoBYXEN
967,6,1248,3,22,pEUAEjiHrajLuaGhLTDe
97,179,505,85,589,cOzGwxGJEDGBAbFslGfg
851,603,1711,197,674,fKIKSVoGuOdkfjqoCrqS
249,176,293,93,692,qDpjCNqBUprWIOEMqJiS
35,394,223,226,473,zMvmDMxfjoBvESSYcfsA
1,130,5,60,312,mlsUJCKZKPUbCEPTObyz
1188,578,1312,223,696,PQMAvMgsVmDgwHnYjnHT
1348,138,1614,89,471,FbfPomtVZrXnznNlPWSv
547,433,2982,387,487,yOmKArfXkhJFaxOIDlAJ
990,134,1142,2,173,TRwaNxKtzthAopWjvBzG
1681,273,1772,59,457,baUPcGfHFTAuISvVCXtj
1133,539,1170,79,701,rqPSNNrureiwngpRsPUg
210,136,1030,50,291,KnXZCfvYRtCNNfpWpano
714,20,2086,4,519,VfnrxlRbWRqnrXmxZQkH
119,905,208,373,916,qmrXUgXcCpeebPfhfbvl
2418,261,2871,253,827,QhfSlqbjQFGtDfUIyiFg
641,56,2415,14,571,bWyySlkqDWSVQGnLaOsR
498,398,1356,317,651,TfVddsOSHvacRDwOYURl
366,30,1358,15,921,pYZZYIqMreBqxREBqxSE
14,4,482,0,833,bEYOoVOArEUWfMlPwUXD
1179,140,1912,110,211,WzzajrRuOmONXcmHTBeT
347,30,1962,16,570,LlwZRmggYLTXCWSGYRLi
73,242,86,54,261,kQRaHavNNgmZiJxCgdmu
679,67,1107,37,834,kylXAQMDcjguBYIQMdEP
131,111,258,33,115,HXjvvEvQJrVcygOHYFkq
357,167,410,108,280,TsKaVqKaEbGiwRbwZzjb
371,599,643,61,654,iYOhlItZbctjZEBSpWiY
876,93,2498,40,294,LBmlBTKHMfFmQlWbDdQz
1416,607,1750,214,650,RrSyJSEMGgvemzwhiBJl
987,225,1408,20,231,AdWylMvuycEGKWYZCsrd
2256,740,2799,103,919,HOTxjnYahDzNnzYMALYf
819,40,1573,28,200,giSpFzXEspUwjOkysyqT
963,280,1014,90,648,QyoYDpvqwnhoIRKRQfOY
49,34,841,4,75,iJgLlYvXrVMyrzskEEVQ
1171,19,2891,4,419,CHcVdMCPxYKCPJbQXNdG
1157,172,1587,31,355,ZWvFyMupVPtVDJHCDoHi
12,262,656,146,271,ROIoysOaCxvmpUuvjraE
218,64,1653,0,249,QuaegZSyZHjWOMsXAMeZ
51,343,492,313,636,MOspPMfcpzYUzLpGwybZ
1831,29,2059,23,81,GVHhZtplQbqoGOFbwgbj
44,37,2754,3,135,rGytyVOyrtCulTscMTHB
1881,44,2118,17,493,bzqhnXqjlXjDijYOZrbo
133,34,2459,16,83,CNJKEuLsyOGkKCpKanBJ
1664,451,1746,72,565,aTOVRbyRuMISdgOrkwCm
217,59,1312,1,564,FmKklJKUcfAyNvSazmzD
982,87,2052,83,106,JMnVHNazlZPdaIQIIPxo
1422,487,2234,481,688,yMhVpXHoOGFXJvGxISpK
1451,113,2691,104,117,epEGpFQZoRzcOLWvWlLz
1681,24,2345,20,63,WVZvyHCNDBiWgPWiBcos
283,84,680,53,191,TslcyiFVjupISUtVKXOV
1880,289,2001,183,400,ldGSMAbnLisertsTTbPS
165,480,600,473,497,fYvLYhSdyjkxcAhHTYoi
677,752,2356,345,780,ZYeAJkxQZQrOuQzKGoSI
2501,58,2754,42,251,XyRRLzoNHKyTsEJsVlcq
1596,3,2882,1,4,LghQycRAWBLmLGHCHFIF
1558,236,1676,154,670,jsXLNpiCXBXyxsscVXLE
491,881,533,641,997,cFHUgmKVavNDgNAWoYXe
438,44,1428,41,107,eUuRlQcTwCwxuDYDRbXP
23,530,320,499,736,ecSbgNUXneGgAbcYsrzb
1081,743,1445,56,797,kHBAewLWjAidaWtCjHEi
861,44,1587,39,108,owfzndgDsZjscCmACxnn
417,203,540,125,782,KSWVwwgqWUQgqvGBhuJS
1787,28,2617,25,121,wXCOpdDRvSCPPpLdEcTW
1334,485,1566,59,652,xAVuwnmrMSGGRaUNEPij
1184,486,1224,216,587,xvANQuPaQHbbTCGESSoU
37,103,159,78,216,RflanOTMZQbsiLRaSurK
169,395,1342,236,691,UAdDGDiXOfmKdEduzFpR
868,54,1281,13,865,uElxqCUsdnPOqFNnWXps
2,100,55,32,928,JUoHfeFGVIacWuYlbMGp
892,217,1387,175,872,ukupcwwCokjiaUDAKeoR
3,78,2684,56,236,DdSJYcpDecRIgZSMohyQ
269,55,1351,33,57,NlhNftywRDUfvzKkfOkR
445,210,453,112,234,NbVhKfIKfGmHTlzhFQns
184,285,2572,42,305,nVjSixDklgUbMKAfFcTn
146,18,768,16,40,SMskwgovPQZfVeKsbzKy
1025,123,2778,72,271,EkfAisbIPMHDZmgvGadv
660,253,974,223,933,oRuNjSrIgNqnYoHsHfMC
300,150,1413,69,333,tkqrpiGvCoqTdYZqXCpR
942,298,1838,273,301,oALmLmsVqZlDOfdLUtmk
561,109,2712,86,267,CLnXZVqnkFUiUedMEUDm
62,780,753,241,884,JVnKKADamnSqArJRRoOk
36,28,140,6,234,QkhDxQvbKOEMRqTRSmLp
78,175,262,113,224,nEaeRMheBoCExjeikIeS
496,79,940,23,83,ZQekgEeLIDygALDhICUd
247,559,1223,123,742,kKvdONRnPmaDqhcIybCj
2494,393,2955,287,790,jHpjhPnhplzXIkxikfaD
952,76,2892,33,148,ZJPCFWcyGVdGLPUnPYth
764,677,799,359,893,WvRucboHKQaeajslrIQB
737,40,1240,6,51,JVHRBHEvzEWfDLEOtBYq
1046,93,1336,35,185,LHauNXSTSCRRdwUTRHEu
664,331,2507,299,836,ssqmIohqbhuYOlLVnXdy
106,87,1536,59,175,cKUPokoDxUznNzxjkWfW
279,29,2542,24,911,JNbjFvonAIipBHDZHzNr
304,105,1795,11,151,EhGSQHRfYBbYUSxDOllu
857,74,2512,1,75,kiqJSEbtfJcwJCNlYCXD
729,674,1271,287,872,eFInQMPuVAHTHZcOCDwv
129,27,1111,21,310,yMxQkrxvQkECLuNdkwsk
5,38,10,29,462,SvSJqyHfnSPwKxHRINYj
1294,158,1504,121,517,XHGAZhIrOZthMBJlQfZd
7,67,116,29,444,rpMKOBWBNXNrejqiulci
1965,81,2312,64,237,guoNLYjhysXRvUnQFrpY
1526,247,1631,152,976,CEOvskreUwmjnRZwHPOL
389,65,567,27,496,EMEAOrPgRDIMFHcPEYmJ
182,73,693,48,774,lizEjSZTrWrCohQocHWk
2973,43,2993,15,215,hNPQaRiMMIBzIqCRJaAt
1210,17,1326,5,242,sghPjbqWmEFKhXdKlvbB
3,506,317,31,765,oMHdtCcgYSYJQRgtOWQZ
689,618,838,205,812,GDyACNuIHqszBxRyCbaa
1911,719,2752,160,950,JEUaYrdHHduMDjylHjKr
475,130,2106,74,158,aPWiQWReQEVzHdHfpBZn
209,254,1728,145,452,VvSvHSerIOwpmgFVDOGC
2251,176,2372,157,318,TxXcXOJHYRlfSWmXByls
488,631,2337,192,718,DRgtnlhmBVYRDgZXsjqp
1508,127,2181,103,282,ucjZQOfyCGnZUomqmYVA
2156,93,2555,59,729,VpJqmQzPoPtrUGXKPikb
535,379,1103,357,713,XILRpyblbfrlPHQKSeDj
317,9,683,3,687,yYnVAksFWpmPwSwcXyyE
123,135,148,63,216,GOtkVVQAoBMSFVjqypaw
1216,636,2298,162,760,mmKjuDCFtKkHobqIewqc
696,505,901,492,765,nUbBDWybCzNovimVDIkd
30,92,77,33,126,kLnTABeOPGPfhkpQuWxl
389,136,2663,16,536,ECYXuxKwUeTMWSEDuSdP
2288,109,2731,85,468,lrsyTBarWkIRobfQIthV
43,86,188,81,824,OXMnEzaoiJsqocpGBrBi
11,25,203,3,132,wjZQQgddpnHTBZgMjggp
21,333,30,326,488,ZYSjtZFNQjmkkePCBWqO
271,40,370,12,94,yXZCDLueVIKDahGJoEPc
1489,34,1646,21,302,xNuKfiiHJrItjZKlYROI
327,86,1479,0,668,nlBDEUPmjJZHwyqKbIlL
155,626,1795,536,851,enRytglFKVHVMykHfIUH
1794,116,2784,66,232,xYZTiWByQasQTrUTQELX
939,262,2408,105,589,AhdWfLepLJokAEclilfo
1330,606,1431,195,996,saVtOkyIXwoRSJpokcZJ
20,436,67,134,714,kAckRNiltZsVXjtjeHDm
912,248,1245,163,609,SoZjOAWAbTFIXQVJEokH
57,39,435,10,133,oCCVupPbItgPqiYybeMn
1036,170,1892,79,276,VvIdBaPyYyUFhVGLUnbe
64,287,491,95,805,vrTnsFQgidjLvXOyufUW
196,78,2031,51,664,sYLryeDMRRZsNDNGZAhp
581,421,2681,198,928,GaLTgmqbsdWseYGZrvih
285,202,392,78,451,MefmoTrsDzxtFyYuIbvu
253,23,1781,18,47,jWYdKmBdpaJgiVFahPna
488,274,2931,134,297,LeBEQBtxObBfjmREUPvq
1711,129,2145,68,386,FUArEfnGFGZnndqePIVu
404,172,1987,22,240,bihLNeXImmAMGgAIPGxC
1624,254,1797,252,973,HIFrygsjaxWWTwMMKULq
1014,114,1509,19,558,RfQvbejilccEEbFqXhIB
696,16,1466,8,317,THATvEWtlyPckaFMxOEp
738,104,2419,30,573,ufTETInOLSiwsDbYQMzf
444,173,1424,138,305,AAUgLRrVKxbbiAwbESUI
864,266,1576,159,722,stPHgekPWvHKatrAlOMQ
1259,143,1559,10,987,CDbZXEfinPbCHslxONfe
1428,12,2182,3,131,dATcrbdxpMVGCQaeQWxL
248,403,1088,153,521,tLAjdDtkGHPkTLTdmMFU
437,134,1717,68,152,qruYqifzHHasLVnMYLjS
116,517,2843,31,753,CayJvQhSvcxqeaNhJOHe
161,127,164,24,938,RZVgYvnZkeXtSaTpOPYI
1,73,247,16,511,DyekxcICchpRIKrrzVvX
435,249,2745,88,424,WWVxNfgOMUwjMejwulbs
320,12,2031,9,69,lPyutziNHXpgcdKHlUPU
289,522,1060,485,602,pYUiBpFxcThEtNAgAONG
342,195,1444,154,836,xdPyXRwocTXXtRpaigyO
697,323,1353,241,432,XwqVjpxhkpPjQdYmMcOf
702,478,1570,220,929,lvHxtJACtjbjpXkLRmbF
122,439,266,208,647,tnGKVbVsXriqDkUtYkTj
2678,109,2836,30,225,VotxJUBjlyAdSDMoBODB
1318,29,1512,9,540,rVvClcbGXNMTtDiEzsbY
1067,94,1143,85,346,kSrniXPfBGCtXlRXiVUL
476,148,2535,44,664,ReImeHSGGahbmiqHcqIC
323,300,664,64,613,BOAYtUMhUZtfvecTcOnn
301,252,2677,15,869,xpTbIcgGOcqKcXokWjuC
4,698,10,678,756,JSQHRmhAQVRUAluHUtdR
287,1,1328,0,557,iRTIHcAxfieoKOZAdTmR
918,588,991,230,665,VynVsEfJCOjWmTLqxmux
927,365,1421,116,607,grgsCwEzNkuBwGAbyysb
1353,742,1740,250,879,PtuHcUeoXxsCWHERvzwb
1174,67,2184,29,683,CAzihLXRCYHrgPJGefll
1132,27,1467,7,621,OtbVWHKXvGOmQEntWbhQ
903,97,1896,42,458,MGRgMirpMnpfjHHHIORS
43,571,918,135,730,VBMXAYOEOJSoiPTbsBbF
1018,328,1038,265,372,cqJewpGZLiKWQtAaOExs
1107,8,1955,7,369,sEuKugaoiZLlEQndHhGR
169,191,565,65,513,HSBPCrMGgzHzUvVGTMky
1166,310,1328,305,685,xfOCnqkMkOJnbDWnxTEr
125,643,156,362,849,TybPRJJjUiaTtlHYLIwQ
15,233,294,83,992,WjLHxJshLnXQDuhqXvfC
1671,7,2123,1,267,HgKjpOQzGMXahZcdPxxV
848,759,1730,616,876,wiLIjXUjjfQDMUjZfSBg
109,22,131,5,50,yNlKfyzVZXIdHTMesoIP
1027,22,1858,19,177,XsNDkkEKyBoXQxXIqoOy
1005,69,2251,40,788,sixMPVcrvSEjYyHiVXkj
131,71,276,69,202,zGizHImCxKwPFSEHeEYI
846,118,959,63,549,yVJyytIkusOtEuuWNlTG
886,87,1221,69,485,OqKmkYTxSvZitycafwsN
377,718,532,385,819,dvIFwUKsEwZMRMQQAIYw
444,124,2371,5,154,LTnpnCPNXKvzZqLrIRnh
652,355,1035,115,798,xoTvEtfzcsfktgHUVTth
2313,91,2343,21,828,yvjVACHDPEmnOieENmNM
434,281,755,34,308,xAWHMAcYEZkzvnlKHRNr
139,29,2218,7,143,bJeBvJdgTUYlnSWrMpNh
79,181,95,8,195,NfObgzupqlrbRAhTHogN
797,117,1511,24,202,tdriTxWkKyGoaWhJcmRE
110,311,1693,176,566,AAvmAUkmIwsnxomYpwWF
302,281,623,144,686,rSFfhigXDfdvtqFOwCfF
303,640,368,578,899,bTUlUhwadnuRnXPVnAKW
1312,714,1327,575,756,QuigakNFsegFdVXnczRF
812,34,1348,17,225,zdfXQkfqIzvPBnoWSwrL
156,497,741,66,803,zlYVFPSgmVWIrGTobmRz
76,247,1693,171,442,sIzuzftTFDSothsSECzi
1682,807,2177,623,950,yeKBCrHhiPNLjOmxByap
39,218,361,16,284,OOnjGmDrIWorrnufYeIL
2424,338,2948,227,620,nnUHJTaHRkjKhuCTtJbS
1320,8,1700,2,121,UmiypvRuxkXeHibCRHUd
2465,183,2620,145,456,PuKeAvNvHidnFVNqNnYA
470,266,2811,142,434,wgdYPSljWUkSKzeJXnNJ
76,30,224,19,121,iYWVdsqyavtXNSlhJrTR
337,640,1291,437,680,UAAJfgftKOhREBlPrEPo
1443,6,1615,4,201,HqUTobyDToySoIvvadjh
1345,15,2227,14,60,WmsQyQpkPhaxxsfWWbhs
627,28,795,18,587,mMrmOeqOLLVgxxTbgsoW
669,87,1264,61,351,XPRZtFAbceLRdUFZlbDQ
696,136,1435,46,179,kdBeikafoyBIujMJMQZE
100,620,1306,512,963,HpYrJhSLsoQwsNCUaVyE
119,194,784,116,211,QFmmvMAzcsRriiUeZrXc
1777,335,2494,255,918,TkXQHQKCaMqELXENLRAV
1200,838,2470,322,931,JzjvaQkTwWmVOHYDBEBq
71,51,85,35,147,JmjjerIOZSUamRuOBBwA
81,107,1453,64,647,MFfBuWrFChmHUkILJiTz
2356,368,2449,324,968,PHkjlaSLtPQbkRQBeigF
254,25,2889,8,51,NCogNhiZbSLhvcpbsAJS
156,793,884,181,856,IHwuoXDXbcbCpmXhepUM
947,77,2922,18,274,rTfqBTGYcZcVceUphfVM
2884,199,2940,76,268,uCPbTUIUxSWPpVyXVFFT
24,306,25,135,528,djdFbCubZoABQdPriunv
1309,194,2222,10,549,ZtsBuEfUATQnqWVrfVPM
406,562,777,342,620,zrRtbTrwVqMkQUCupidZ
1273,372,2198,48,495,vGLppRUWqdotlAczMIkS
6,77,157,20,198,mIJMlvmCsFlfnIneePoj
599,320,1682,101,870,JlQogkEYhNmpLdvbuHZu
313,353,1054,8,961,pGfNGMHJrMddfGrXXShE
567,80,2584,33,131,eIvYuqdgymDnIoHZUPoQ
508,15,708,1,56,OiuaccKofPeFLOQonJZF
744,589,958,161,867,GmqaNLgnbLUAkFUuGpXl
343,149,477,12,828,GzMbyrmYaRHAlVPexTDw
480,397,1065,55,465,GBYKVbKkHZhsFkXdvjMX
674,86,1161,45,390,NQoMRPNJhwhkYOFGHPiU
299,752,590,469,805,RrxHGgwNaPtrmkefYSNN
19,70,1880,66,270,mdubLqylHhagrOJrVcXG
505,54,515,47,162,MUwYEiEcMMthsXHkXOQM
509,645,1626,418,763,HRdVGoHAhPKivjIOWhxG
325,255,917,253,876,UApixXgcXuLQlPgzonue
1775,49,2615,8,260,PenGPwIZWTNCUVXFcNRd
274,51,1276,10,247,BRUfvAHKZDzeXEntkUjy
373,167,805,163,671,GsJhVXYZlbGPcOIGXYVk
1829,96,2335,19,575,MVTLjRTWbBhUAlGUEqwg
329,35,2218,33,61,xwxczanlUrGpHDnlUPic
76,188,738,169,345,vgjOhVWwFaNqXHFGGKVr
1904,112,1944,12,286,mKBMogoKeMQDnuGNKrWB
1729,479,1847,226,532,sWVvxyEjvkGzoLymWQfR
97,372,2442,320,840,GdnSjOLyHrXnXYDxeYGZ
2623,436,2722,25,998,ZltEmLTgBBClLAVfNzBZ
771,110,1945,102,372,nsEougzfMfhBvLwRTpPr
680,30,889,4,36,zEikUJdRLTFLGGdzjqru
304,117,2052,22,255,uMSBIDDeCKpiaaIDndus
836,10,1018,4,333,dHjXjzbgWhHeBLFkVHmC
1153,294,1822,96,820,rGEIBhKmYVvPTAQbENFj
715,629,2186,473,989,TmUtlpYZzJbaWcqPQeWs
237,114,362,53,253,QiumiRUYnFplbCbZXHXK
1524,676,2852,465,950,zZItKEPrRtIgjhwRnGyc
1188,508,2304,433,796,cLCUIGokcieUkGtCQmAn
2578,125,2873,10,193,xzhJjhDSAHAMTFFsAgzd
53,2,58,0,3,IBOSPuCvDCknBGbaokUD
771,143,2979,27,597,SlEROcACBEHjvIhtoNjQ
925,288,2889,259,704,qBYrCgbVeBSONToEiayx
860,683,2429,469,772,WEJOfCXToaUYZxjAIOHu
438,318,2080,14,880,KChbRdSaXtDBBQDgdOPD
